,Sample of the book,Book_name
977,restaurant glance flash around room told however english party descend restaurant glitter still comparatively empty two priest talk table corner muscari ardent catholic take notice couple crow yet farther seat partly conceal behind dwarf tree golden orange rise advanced towards poet person whose costume aggressively opposite figure clad tweed piebald check pink tie sharp collar protuberant yellow boot contrive true tradition arry margate look startle commonplace cockney apparition drew nearer muscari astound observe head distinctly different body italian head fuzzy swarthy vivacious rise abruptly stand collar like cardboard comic pink tie fact head knew recognize dire erection english holiday array face old forgotten friend name ezza youth prodigy college european fame promise barely fifteen appear world fail first publicly dramatist demagogue privately year end actor traveller commission agent journalist muscari know last behind footlights well attune excitement profession believe moral calamity swallow ezza cry poet rise shake hand pleasant astonishment ,2
648,substantiate time upon well know separate feed ground ahab hope encounter prey cross wide expanse water ground art place time way even wholly without prospect meeting circumstance first sight seem entangle delirious still methodical scheme reality perhaps though gregarious sperm whale regular season particular ground yet general conclude herd haunt latitude longitude year say turn identically found precede season though peculiar unquestionable instance contrary prove true general remark within less wide limit applies solitary hermit among mature age sperm whale though moby dick former year see example call seychelle ground indian ocean volcano bay japanese coast yet follow pequod visit either spot subsequent correspond season infallibly encounter feed ground time reveal seem casual stop place ocean inn speak place prolong abode ahab chance accomplish object hitherto spoken allusion make whatever way side antecedent extra prospect ere particular set time place attain possibility become probability ahab fondly thought every possibility next ,3
970,star odd person say exactly old grimm say say ugliest part thought uglier blood bullet flower quite short plucked close head course say priest grown girl really pick flower pick plenty stalk pull head child look hesitate well inquire well look rather snatch nervously make excuse well know drive say flambeau rather gloomily every suspicion break one point want weapon kill say lot thing even military sash explain bow kill shot fact girl ruthlessly search tell truth little suspect though niece ward wicked old chamberlain paul arnhold romantic suspect sympathy old revolutionary enthusiasm family however romantic imagine big bullet man jaw brain without use gun pistol pistol though two pistol shot leave friend know two shot ask little priest one head say companion another bullet hole sash father brown smooth brow become suddenly constrict bullet found demand flambeau start little think remember say hold hold hold cry brown frown quite ,2
835,ninety nine left alive see say father brown lord pooley look flambeau friend mad ask far reply take resume pooley restless way bad whole pack italian turn back malvoli swarthy savage fellow country anyhow know mediterranean race like send word shall malvoli storm head whole corsican clan lord matter life death say priest ring bell give message see whether malvoli answer nobleman struck bell table odd air new curiosity say clerk appear almost instantly doorway serious announcement make audience shortly meanwhile kindly tell two champion fight put clerk star second demon vanished authority say ask lord pooley abruptly consult consult bandstand say father brown scratch head wrong consult book picked bookstall london cheap take pocket small stout leather bound volume flambeau look shoulder see book old travel leaf turn reference form voodoo begin father brown reading aloud inquire lordship voodoo repeat reader almost relish widely organize outside jamaica form know ,2
12,new character candour bring reconciliation shall think even john fanny entirely without merit visit colonel brandon side three four day two gentleman quit barton together go immediately delaford edward might personal knowledge future home assist patron friend decide improvement need thence stay couple night proceed journey town chapter proper resistance part mr ferrars violent steady preserve reproach always seem fearful incur reproach amiable edward admit presence pronounce son family late exceedingly fluctuate many year life two son crime annihilation edward week ago robbed one similar annihilation robert left fortnight without resuscitation edward one spite allow live however feel continuance existence secure till reveal present engagement publication circumstance fear might give sudden turn constitution carry rapidly apprehensive caution therefore reveal listen unexpected calmness mr ferrars first reasonably endeavour dissuade marry miss dashwood every argument power told miss morton woman high rank large fortune enforce assertion observe miss morton daughter nobleman thirty ,0
112,overcome live trust might great happiness lie promote marriage since arrival since delightful security repeat fully give every encouragement power time little time tell everything marianne heart waste man willoughby merit must soon secure judge colonel spirit however yet make equally sanguine think marianne affection deeply root change great length time even suppose heart free diffident believe difference age disposition attach however quite mistaken age much beyond advantage make character principle fix disposition well convince exactly one make sister happy person manner favour partiality blind certainly handsome willoughby time something much please countenance always something remember willoughby eye time like elinor remember mother without wait assent continued manner colonel manner please willoughby kind well know solidly attach marianne gentleness genuine attention people manly unstudied simplicity much accordant real disposition liveliness often artificial often ill time sure willoughby turn really amiable prove contrary marianne yet happy colonel brandon pause daughter quite ,0
711,rest plain wit crazy witty sanity leave mutter ship navel doubloon fire unscrew unscrew navel consequence stay ugly aught nail mast sign thing grow desperate ha ha old ahab white whale nail ye pine tree father old tolland county cut pine tree found silver ring grown old darkey wedding ring get say resurrection come fish old mast find doubloon lodge bed oyster shaggy bark oh gold precious precious gold green miser hoard ye soon hish hish god go mong world blackberrying cook ho cook cook jenny hey hey hey hey hey jenny jenny get hoe cake do chapter leg arm pequod nantucket meet samuel enderby london ship ahoy hast see white whale cry ahab hail ship show english colour bearing stern trumpet mouth old man stand hoist quarter boat ivory leg plainly reveal stranger captain carelessly recline boat bow darkly tan burly good natured fine look man sixty thereabouts dress ,3
173,agree dissent heard therefore give offence delaford within easy distance add mr dashwood even remain barton probability hear large village indeed certainly must small house cottage close suit quite well present situation poor elinor new scheme get delaford spirit stubborn fortune time life know everybody care though neither know desire know really sure must good one interrupt entrance third person elinor withdrew think private wish success friend yet wish feel pang willoughby chapter marianne illness though weaken kind long enough make recovery slow youth natural strength mother presence aid proceed smoothly enable remove within four day arrival latter mr palmer dress room particular request impatient pour forth thanks fetch mother colonel brandon invite visit emotion enter room see alter look receive pale hand immediately held elinor conjecture must arise something affection marianne consciousness know others soon discover melancholy eye vary complexion look sister probable recurrence many past scene misery mind ,0
833,abstract meditation always amuse calculate angle mirror angle refraction angle must fit wall heard strong strangle cry sprang foot stood rigidly listen instant sir wilson seymour burst back room white ivory man passage cry dagger mine father brown turn heavy boot seymour plunge room look weapon possibly find weapon brisk run foot broke upon pavement outside square face cutler thrust doorway still grotesquely grasp bunch lily valley cry creature passage trick trick hiss pale rival make stride towards instant time happen father brown step top passage look walk briskly towards saw two men drop quarrel dart cutler call name brown say priest sadly bent something straighten miss rome sent come quickly come late three men look one least life die late light afternoon ran along passage like path gold midst aurora rome lay lustrous robe green gold dead face turn upwards dress torn away struggle leave right shoulder bare wound ,2
913,aristocratic see good look englishman even dress know house lord fancy father allow national buoyancy uplift many influential nobleman risen recently oh stop cry greywood usher wring one lean hand impatience shade irony face stay talk lunatic cry todd brutally take friend next morning father brown appear demure expression carry yet another piece pink newspaper afraid neglect fashionable press rather say cut may interest usher read headline last trick strayed reveller mirthful incident near pilgrim pond paragraph go laughable occurrence take place outside wilkinson motor garage last night policeman duty attention drawn larrikins man prison dress step considerable coolness steer seat pretty high tone panhard accompany girl wrap rag shawl police interfere young woman threw back shawl recognize millionaire todd daughter come slum freak dinner pond choicest guest similar deshabille gentleman don prison uniform go customary joy ride pink slip mr usher found strip later paper head astound escape millionaire ,2
1,reply however still great deal do stone laid fanny green house nothing plan flower garden marked green house upon knoll behind house old walnut tree come make room fine object many part park flower garden slope exceedingly pretty clear away old thorn grow patch brow elinor kept concern censure thankful marianne present share provocation say enough make poverty clear away necessity buying pair ear ring sister next visit gray thought take cheerfuller turn begin congratulate elinor friend mr jennings seem valuable woman indeed house style living bespeak exceed good income acquaintance great use hitherto end may prove materially advantageous invite town certainly vast thing favour indeed speaks altogether great regard probability dy forgotten must great deal leave nothing rather suppose jointure descend child imagine life income people common prudence whatever save able dispose think likely leave daughter daughter exceedingly well married therefore perceive necessity remember farther whereas opinion take much ,0
167,many objection measure day objection happy ardour youth marianne mother equally share overcome overlook elinor spite every occasional doubt willoughby constancy witness rapture delightful expectation fill whole soul beam eye marianne without feel blank prospect cheerless state mind comparison gladly engage solicitude marianne situation animate object view possibility hope short short time however must decide willoughby intention probability already town marianne eagerness go declare dependence find elinor resolve upon gain every new light character observation intelligence others give likewise upon watch behaviour sister zealous attention ascertain meant many meeting take place result observation unfavourable determine event open eye sister otherwise exertion different nature must learn avoid every selfish comparison banish every regret might lessen satisfaction happiness marianne three day journey marianne behaviour travel happy specimen future complaisance companionableness mr jennings might expect sat silence almost way wrapt meditation scarcely voluntarily speak except object picturesque beauty within view drew exclamation delight ,0
821,still paralysis pas priest make momentarily detain motion say grace permit real petition retain right advise urge many people possible present country found hundred even faith flock whose imagination poison spell implore break wish devonshire see see ask duke arch eyebrow see take wig say father brown duke face move look petitioner glassy stare awful expression see human face see librarian great leg waver like shadow stem pool banish brain fancy tree around fill softly silence devil instead bird spare say duke voice inhuman pity refuse give faintest hint load horror bear alone lie shriek foot mine beg know spare hint shall spell first letter write altar unknown god know unknown god say little priest unconscious grandeur certitude stood like granite tower know name satan true god make flesh dwelt among say wherever find men rule merely mystery mystery iniquity devil tell something fearful look look say something terrible hear ,2
256,conduct king jordan shimei son gera benjamite bahurim hasted come men judah meet king david thousand men benjamin ziba servant house saul fifteen son twenty servant go jordan king go ferry boat carry king household thought good shimei son gera fell king come jordan say unto king let lord impute iniquity unto neither thou remember thy servant perversely day lord king go jerusalem king take heart thy servant doth know sin therefore behold come first day house joseph go meet lord king abishai son zeruiah answer say shall shimei put death curse lord anoint david say ye son zeruiah ye day adversary unto shall man put death day israel know day king israel therefore king say unto shimei thou shalt die king sware unto mephibosheth son saul come meet king neither dress foot trim beard wash clothes day king depart day come peace come pas come jerusalem meet king king ,1
384,go david take shield gold servant hadarezer brought jerusalem likewise tibhath chun city hadarezer brought david much brass wherewith solomon make brasen sea pillar vessel brass tou king hamath heard david smitten host hadarezer king zobah sent hadoram son king david enquire welfare congratulate fought hadarezer smitten hadarezer war tou manner vessel gold silver brass also king david dedicate unto lord silver gold brought nation edom moab child ammon philistine amalek moreover abishai son zeruiah slew edomites valley salt eighteen thousand put garrison edom edomites become david servant thus lord preserve david whithersoever go david reign israel execute judgment justice among people joab son zeruiah host jehoshaphat son ahilud recorder zadok son ahitub abimelech son abiathar priest shavsha scribe benaiah son jehoiada cherethites pelethites son david chief king come pas nahash king child ammon die son reign stead david say shew kindness unto hanun son nahash father shew kindness david ,1
461,sovran gift posse spacious ground yonder shady bower rest garden choicest bear sit taste till meridian heat sun cool decline thus angelick virtue answer mild adam therefore come art thou create place hast dwell may oft invite though spirit heaven visit thee lead thy bower ershades mid hour till even rise sylvan lodge come like pomona arbour smile floweret deck fragrant smell eve undecked save lovely fair wood nymph fairest goddess feign three mount ida naked strove stood entertain guest heaven veil need virtue proof thought infirm alter cheek angel hail bestow holy salutation use long blest mary second eve hail mother mankind whose fruitful womb shall fill world numerous thy son various fruit tree god heaped table raise grassy turf table mossy seat round ample square side side autumn pile though spring autumn dance hand hand discourse hold fear l dinner cool thus begin author heavenly stranger please taste ,4
836,false chamberlain come conclusion touch ignorance renegade really told truth somewhat reluctantly paid promise money chance gain large amount steal palace like thief rain thought another way get desire eye get cheap away upper end ramble mountain path make way among pillared rock along ridge hang town stood hermitage hardly cavern fence thorn third great brother long hidden world thought prince otto real reason refuse give gold know place year make effort find even new ascetic creed cut property pleasure true enemy profess duty enemy concession cause appeal principle probably get mere money secret otto coward spite network military precaution case avarice strong fear much cause fear since certain private arm whole principality hundred time certain none quaker little hermitage hill live herb two old rustic servant voice man year year prince otto look something grim smile bright square labyrinth lamp lit city far eye see ran rifle friend one ,2
585,curse create evil evil good life dy death life nature breed perverse monstrous prodigious thing obominable inutterable bad fable yet feign fear conceive gorgon hydra chimera dire meanwhile adversary god man satan thought inflame high design put swift wing toward gate hell explores solitary flight sometimes scour right hand coast sometimes left shave level wing deep soar fiery concave tower high far sea fleet descry hang cloud equinoctial wind close sail bengala isle ternate tidore whence merchant bring spicy drug trading flood wide ethiopian cape ply stem nightly toward pole seem far fly fiend last appear hell bound high reach horrid roof thrice threefold gate three fold brass three iron three adamantine rock impenetrable impale circle fire yet unconsumed gate sat either side formidable shape one seem woman waist fair end foul many scaly fold voluminous vast serpent arm mortal sting middle round cry hell hound cease bark wide cerberean ,4
149,felt sorrow obligation marianne general consent reward confederacy knowledge intimate goodness conviction fond attachment last though long observable everybody else burst marianne dashwood born extraordinary fate born discover falsehood opinion counteract conduct favourite maxim born overcome affection form late life seventeen sentiment superior strong esteem lively friendship voluntarily give hand another man suffer less event former attachment two year consider old married still sought constitutional safeguard flannel waistcoat instead fall sacrifice irresistible passion fondly flatter expect instead remain even mother find pleasure retirement study afterwards calm sober judgment determine found nineteen submit new attachment enter new duty place new home wife mistress family patroness village colonel brandon happy best love believe deserve marianne console every past affliction regard society restore mind animation spirit cheerfulness marianne found happiness form equally persuasion delight observe friend marianne love half whole heart become time much devote husband willoughby willoughby hear marriage without pang punishment ,0
175,come town say lucy return cessation hostile hint charge think shall oh yes dare say elinor humour farther opposition charm thing mr dashwood spare long time together long time indeed interpose mr jennings visit begin lucy silence sorry see sister miss dashwood say miss steele sorry well marianne left room arrival good sister equally sorry miss pleasure see much plague lately nervous head ache make unfit company conversation oh dear great pity old friend lucy think might see sure speak word elinor great civility decline proposal sister perhaps laid upon bed dress gown therefore able come oh cry miss steele well go see elinor begin find impertinence much temper save trouble check lucy sharp reprimand many occasion though give much sweetness manner one sister advantage govern chapter opposition marianne yield sister entreaty consent go mr jennings one morning half hour expressly condition however pay visit accompany gray sackville street elinor ,0
851,state athletic assassin sort doubt whether anybody find convict settlement sequah thirty mile country wild tangle enough country beyond surely sense go perfect man land tumble away prairie may hole tree hole say governor tree know ask father brown blinking like speak inquire usher father brown open innocent eye wide exclaim men get hold get hold drawl american rise lazily stretch lanky leg fire get hold crooked end walk stick look surprised really know sometimes take turn country lane outside dismal place well walk early even steep lane dark hedge grey look plough field side young moon silver road light saw man run across field towards road run body bent good mile race trot appear much exhaust come thick black hedge go make spider web rather heard strong branch break snap like bayonet make stone instant appear moon cross road slung hooked cane leg trip bring blew whistle long loud ,2
189,begin express note edward concern particular circumstance make difficulty person easy thing world equally fear say much little sat deliberate paper pen band till broken entrance edward met mr jennings door way carriage come leave farewell card apologise return oblige enter say miss dashwood want speak particular business elinor congratulate midst perplexity however difficult might express properly letter least preferable give information word mouth visitor enter force upon great exertion astonishment confusion great sudden appearance see since engagement become public therefore since know acquaint consciousness think tell make feel particularly uncomfortable minute much distressed sat together promising state embarrassment whether ask pardon intrusion first come room recollect determine safe side make apology form soon say thing take chair mr jennings told say wish speak least understood certainly intrude manner though time extremely sorry leave london without see sister especially likely time probable soon pleasure meeting go oxford tomorrow go however ,0
918,blue mere depth distance like wind tumble mass vivid violet blossom magic clearness intensity colour force brown slowly revive sens something romantic even secret form landscape river still well wide deep enough pleasure boat small curve country side suggest closing either hand wood seem make broken fly attempt bridge building boat passing romance valley romance hollow supreme romance tunnel beyond mere look thing little brown freshen fancy feed saw human being except gipsy trail along river bank faggot osier cut forest one sight longer unconventional remote part still uncommon dark haired lady bare head paddle canoe father brown attach importance either certainly forgot next turn river brought sight singular object water seem widen split cloven dark wedge fish shape wooded islet rate go islet seem swim towards like ship ship high prow speak strictly high funnel extreme point near stood odd look building unlike anything remember connect purpose specially high ,2
556,upgrew insuperable height lofty shade cedar pine fir branching palm sylvan scene rank ascend shade shade woody theatre stateliest view yet high top verdurous wall paradise upsprung general sire give prospect large nether empire neighbour round high wall circle row goodliest tree loaden fairest fruit blossom fruit golden hue appear gay enamel colour mixed sun glad impressed beam fair even cloud humid bow god hath shower earth lovely seem landskip pure purer air meet approach heart inspires vernal delight joy able drive sadness despair gentle gale fan odoriferous wing dispense native perfume whisper whence stole balmy spoil fail beyond cape hope past mozambick sea north east wind blow sabean odour spicy shore araby blest delay well pleased slack course many league cheer grateful smell old ocean smile entertain odorous sweet fiend come bane though well pleased asmodeus fishy fume drove though enamour spouse tobit son vengeance sent medium post egypt ,4
708,sperm whale great monster indomitable yet reason know chapter pequod meet virgin predestinate day arrive duly met ship jungfrau derick de deer master bremen one time great whale people world dutch german among least wide interval latitude longitude still occasionally meet flag pacific reason jungfrau seem quite eager pay respect yet distance pequod round drop boat captain impel towards impatiently stand bow instead stern hand cry starbuck point something wavingly held german impossible lamp feeder say stubb coffee pot mr starbuck come make coffee yarman see big tin alongside boil water oh right yarman go along cry flask lamp feeder oil oil come beg however curious may seem oil ship borrowing oil whale ground however much may invertedly contradict old proverb carry coal newcastle yet sometimes thing really happens present case captain derick de deer indubitably conduct lamp feeder flask declare mount deck ahab abruptly accost without heed hand broken ,3
818,agree disagree another five year john turn hair sir claude champion monomaniac haman begin tell say father brown thing wherein king honour say thing profit nothing see mordecai jew sit gate crisis come mr boulnois continued persuade john let take speculation send magazine begin attract attention especially america one paper want interview champion interviewed nearly every day heard late little crumb success fall unconscious rival last link snap held back devilish hatred begin lay insane siege love honour talk shire ask allow atrocious attention answer decline except explain husband thing soul body fly nobody explain husband nobody say many word champion steal wife think joke little vulgar anything joke notion find crack great skull get well john come see act even start say get interest book cigar told sir claude death blow monomaniac suddenly saw despair stabbed cry like devil boulnois slay lie garden dead jealousy produce jealousy john sit ,2
600,brother famous baron publish natural history whale give call picture sperm whale show picture nantucketer best provide summary retreat nantucket word frederick cuvier sperm whale sperm whale squash course benefit whale voyage men seldom whence derive picture tell perhaps get scientific predecessor field desmarest get one authentic abortion chinese draw sort lively lad pencil chinese many queer cup saucer inform sign painter whale see street hang shop oil dealer shall say generally richard iii whale dromedary hump savage breakfasting three four sailor tart whaleboat full mariner deformity flounder sea blood blue paint manifold mistake depict whale surprising consider scientific drawing take strand fish correct draw wreck ship broken back correctly represent noble animal undashed pride hull spar though elephant stood full length living leviathan yet fairly float portrait living whale full majesty significance see sea unfathomable water afloat vast bulk sight like launch line battle ship element thing eternally impossible ,3
489,adam enforce close eye sunk spirit become entrance gentle angel hand soon raise attention thus recall adam ope thine eye first behold effect thy original crime hath wrought spring thee touch except tree snake conspire sin thy sin yet sin derive corruption bring forth violent deed eye open beheld field part arable tilth whereon sheaf new reaped part sheep walk fold midst altar land mark stood rustick grassy sord thither anon sweaty reaper tillage brought first fruit green ear yellow sheaf unculled come hand shepherd next meek come firstlings flock choicest best sacrifice laid inwards fat incense strowed cleft wood due right perform offering soon propitious fire heaven consume nimble glance grateful steam sincere whereat inly rag talk smote midriff stone beat life fell deadly pale groan soul gush blood effuse much sight adam heart dismayed thus haste angel cry teacher great mischief hath befallen meek man well sacrifice piety ,4
27,ache head pillow hop way get quiet rest left draw room whither repair soon join mr jennings wine glass full something hand dear say enter recollect fine old constantia wine house taste brought glass sister poor husband fond whenever touch old colicky gout say good thing else world take sister dear reply elinor smile difference complaint recommend good left marianne bed hope almost asleep think nothing much service rest give leave drink wine mr jennings though regret five minute earlier satisfied compromise elinor swallow chief reflect though effect colicky gout present little importance heal power disappointed heart might reasonably try sister colonel brandon come party tea manner look round room marianne elinor immediately fancy neither expect wish see short already aware occasion absence mr jennings struck thought soon entrance walk across room tea table elinor preside whisper colonel look grave see know nothing tell dear shortly afterwards drew chair close ,0
115,heart speak another word meet might world side barton covert kept watch two hour together scoundrel fellow deceitful dog last time met offer one folly puppy end mr palmer way equally angry determine drop acquaintance immediately thankful acquaint wish heart combe magna near cleveland signify great deal far visit hat much resolve mention name tell everybody saw good nothing rest mr palmer sympathy shewn procure particular power approach marriage communicate elinor soon tell coachmaker new carriage building painter mr willoughby portrait drawn warehouse miss grey clothes might see calm polite unconcern lady middleton occasion happy relief elinor spirit oppress often clamorous kindness others great comfort sure excite interest one person least among circle friend great comfort know one meet without feel curiosity particular anxiety sister health every qualification raise time circumstance moment real value sometimes worried officious condolence rate good breeding indispensable comfort good nature lady middleton express sense affair ,0
874,freak dinner stunt exclusive citizen recall perambulator parade dinner last trick todd palatial home pilgrim pond cause many prominent debutante look even young year equally elegant miscellaneous large hearted social outlook last trick show year previous popular cannibal crush lunch confection hand round sarcastically mould form human arm leg one gayest mental gymnast heard offering eat partner witticism inspire even yet mr todd pretty reticent intellect lock jewelled bosom city gayest leader talk pretty parody simple manner custom end society scale tell hospitable todd entertain lord falconroy famous traveller true blood aristocrat fresh england oak grove lord falconroy travel begin ancient feudal title resurrect republic youth fashion murmur sly reason return miss etta todd one deep souled new yorkers come income nearly twelve hundred million dollar well ask usher interest word rather fail answer father brown think moment anything world interest less unless anger republic last go electrocute journalist write ,2
55,anything impatient home difficulty govern vexation tediousness mr palmer whose eye caught every thing pretty expensive new wild buy determine none dawdle away time rapture indecision late morning return home sooner enter house marianne flew eagerly stair elinor follow found turn table sorrowful countenance declare willoughby letter left since go say footman enter parcel answer negative quite sure reply certain servant porter left letter note man reply none odd say low disappointed voice turn away window odd indeed repeat elinor within regard sister uneasiness know town write write combe magna town odd neither come write oh dear mother must wrong permit engagement daughter young man little know carry doubtful mysterious manner long inquire interference borne determine consideration appearance continued many day longer unpleasant represent strong manner mother necessity serious enquiry affair mr palmer two elderly lady mr jennings intimate acquaintance met invite morning din former left soon tea fulfill even ,0
912,brown say nothing finish plate fish last see precious colonel ask flambeau irritably round hotel saint louis elysee drove pack tell still think ask flambeau frown table think get away yet reply duke pack go long journey say father brown quite simply suddenly stand short journey one shortest fact may still time catch go motor cab nothing get cab swept round corner hotel saint louis get lead party side lane already deep shadow grow dusk duke impatiently ask whether hirsch guilty treason answer rather absently ambition like caesar somewhat inconsequently add life lonely life everything well ambitious ought satisfied say flambeau rather bitterly paris cheer curse colonel turn tail talk loud say father brown lower voice curse colonel front two start shrank farther back shadow wall sturdy figure runaway principal indeed see shuffle along twilight front bag hand look much first saw except change picturesque mountaineer knickers conventional pair trouser ,2
121,instance last arrive lady allow fancy far outrun truth probability merely hearing name miss dashwoods understand mr dashwood sister immediately conclude stay harley street misconstruction produce within day two afterwards card invitation well brother sister small musical party house consequence mr john dashwood oblige submit exceedingly great inconvenience send carriage miss dashwoods still bad must subject unpleasantness appear treat attention tell might expect go second time power disappoint true must always enough people determine mode conduct know wrong feel injured expectation thing well marianne brought degree much habit go every day become matter indifference whether go prepared quietly mechanically every even engagement though without expect small amusement often without know till last moment take dress appearance grown perfectly indifferent bestow half consideration whole toilet receive miss steele first five minute together finish nothing escape minute observation general curiosity saw every thing ask every thing easy till knew price every part ,0
253,saul go cover foot david men remain side cave men david say unto behold day lord say unto thee behold deliver thine enemy thine hand thou mayest shall seem good unto thee david arose cut skirt saul robe privily come pas afterward david heart smote cut saul skirt say unto men lord forbid thing unto master lord anoint stretch forth mine hand see anoint lord david stayed servant word suffer rise saul saul rise cave go way david also arose afterward go cave cry saul say lord king saul look behind david stoop face earth bow david say saul wherefore hearest thou men word say behold david seeketh thy hurt behold day thine eye see lord deliver thee day mine hand cave bade kill thee mine eye spar thee say put forth mine hand lord lord anoint moreover father see yea see skirt thy robe hand cut skirt thy robe ,1
